1	7828440
2	3222155
3	1891176
4	1273605
5	929436
6	713233
7	568447
8	465599
9	389643
10	331198
11	285221
12	249852
13	221165
14	195956
15	175442
16	158358
17	143832
18	130743
19	120073
20	110581
21	102059
22	94010
23	87816
24	81766
25	76575
26	70741
27	67364
28	62831
29	59442
30	55907
31	53200
32	50417
33	48191
34	45969
35	43822
36	41745
37	39942
38	38256
39	36231
40	35086
41	33592
42	32652
43	31466
44	29993
45	29306
46	28381
47	27105
48	26065
49	25381
50	24811
51	24220
52	23378
53	22623
54	22049
55	21520
56	20899
57	20155
58	19773
59	19279
60	18424
61	18275
62	17892
63	17695
64	17058
65	16765
66	16475
67	16132
68	15749
69	15358
70	15182
71	14997
72	14565
73	14093
74	13817
75	13846
76	13267
77	13277
78	13153
79	12769
80	12578
81	12196
82	12127
83	11710
84	11550
85	11614
86	11155
87	10932
88	10794
89	10836
90	10399
91	10482
92	10219
93	10276
94	9807
95	9755
96	9572
97	9387
98	9291
99	9101
100	9051
101	8851
102	8890
103	8621
104	8566
105	8591
106	8111
107	8154
108	8015
109	7883
110	7933
111	7844
112	7435
113	7483
114	7464
115	7161
116	7500
117	7275
118	6935
119	7028
120	6778
121	6709
122	6744
123	6605
124	6436
125	6291
126	6436
127	6207
128	6148
129	6005
130	5949
131	5984
132	5865
133	5681
134	5664
135	5571
136	5637
137	5550
138	5473
139	5485
140	5277
141	5292
142	5074
143	5185
144	5035
145	5143
146	4874
147	4906
148	4882
149	4782
150	4776
151	4837
152	4594
153	4509
154	4553
155	4433
156	4311
157	4116
158	4291
159	4255
160	4170
161	4181
162	4242
163	4091
164	4119
165	3988
166	3923
167	3939
168	3842
169	3869
170	3683
171	3798
172	3583
173	3533
174	3633
175	3519
176	3469
177	3450
178	3418
179	3420
180	3341
181	3367
182	3253
183	3291
184	3179
185	3190
186	3160
187	3146
188	3136
189	3063
190	3137
191	3047
192	3006
193	2985
194	2939
195	3002
196	2877
197	2910
198	2844
199	2815
200	2728
201	2729
202	2734
203	2691
204	2641
205	2570
206	2622
207	2518
208	2541
209	2576
210	2477
211	2462
212	2510
213	2396
214	2420
215	2318
216	2291
217	2281
218	2272
219	2269
220	2263
221	2234
222	2286
223	2116
224	2176
225	2247
226	2173
227	2091
228	2054
229	2079
230	2046
231	2070
232	2097
233	2023
234	2008
235	1938
236	1948
237	1842
238	1888
239	1891
240	1834
241	1741
242	1887
243	1839
244	1751
245	1787
246	1681
247	1684
248	1659
249	1738
250	1704
251	1629
252	1676
253	1618
254	1633
255	1610
256	1637
257	1499
258	1626
259	1587
260	1528
261	1503
262	1558
263	1527
264	1431
265	1439
266	1412
267	1439
268	1503
269	1469
270	1441
271	1393
272	1338
273	1340
274	1322
275	1336
276	1379
277	1305
278	1383
279	1315
280	1271
281	1279
282	1293
283	1253
284	1215
285	1205
286	1260
287	1211
288	1232
289	1248
290	1199
291	1202
292	1159
293	1148
294	1133
295	1179
296	1115
297	1182
298	1057
299	1067
300	1079
301	1154
302	1115
303	1109
304	1104
305	1023
306	1003
307	1015
308	1014
309	997
310	974
311	1019
312	984
313	958
314	939
315	1018
316	977
317	983
318	972
319	924
320	1000
321	918
322	903
323	905
324	848
325	888
326	915
327	855
328	877
329	844
330	853
331	898
332	844
333	889
334	888
335	819
336	875
337	853
338	855
339	859
340	812
341	811
342	876
343	838
344	763
345	782
346	843
347	759
348	788
349	782
350	816
351	717
352	738
353	764
354	777
355	736
356	753
357	741
358	738
359	730
360	716
361	712
362	679
363	694
364	699
365	729
366	685
367	676
368	676
369	658
370	676
371	658
372	663
373	690
374	641
375	637
376	620
377	670
378	585
379	680
380	583
381	628
382	626
383	621
384	603
385	628
386	591
387	563
388	571
